Link,Stars,Reviews,Nouns,Adjectives,Sentiment,Remarks
https://www.amazon.com/gp/customer-reviews/R3UUA7LGEYXQ2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I was hesitant to purchase airpods as they were a joke for a while that only rich people had them. But, after going through many cheap pairs of fully wireless earbuds I decided to bite the bullet and purchase airpods. Best decision I have ever made when it comes to my mobile audio. Airpods deliver great sound quality and fit surprisingly well in many different ear types. If you have an iPhone, these are the only earbuds you should even be considering getting with built-in optimization in iOS.","decision, sound quality, fit","best, great, surprisingly well",positive,
https://www.amazon.com/gp/customer-reviews/R7TGGD9V06G4F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"They sound like the apple wired EarPods. They just have more clarity and a little more bass. The whole setup process was so simple and it took about 10 seconds. The battery life is the perfect amount for me and they are comfortable in my ear after hours of listening. Touch controls are also very useful. A lot of reviews have been saying these are fake, but they are 100% real. They are being sold from Apple. The only way they could be fake is if you bought them from a third party seller which the other buyers probably did. This is definitely the best place to buy them, because of how good the price is.","setup process, battery life, touch controls","simple, perfect, useful",positive,
https://www.amazon.com/gp/customer-reviews/R3VTW8Z9UGBANO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"The airpods 2 inherit the first generation design, and the appearance is almost the same as the old model. Same color, same material. But this time, apple put difference in the details.
 1. Long battery life. It can last for 24 hours with fully charged. And the new charging box improves the charging efficiency of the headset. 15 mins box' charging can get up to 3 hours of listening and 2 hours of talking. It is 1 hour longer than the first generation airpods.
 2. Faster connection speed. After adding the H1 chip,there is a big increase in connection speed when pairing devices. When pairing and devices switching, airpods 2 will respond twice as fast as the old model. It is easy to feel that.
 The airpods 2 remain the best wireless earbuds on the market.","battery life, connection speed","long, faster",positive,
https://www.amazon.com/gp/customer-reviews/R2PNZJ02F9VCXT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I didn't originally want to spend the extra money for airpods, and had some other brand wireless bluetooth headphones. Those worked fine (until they stopped charging for no reason), but the airpods really do work so much better, especially if you have an iphone. Connecting them to the iphone takes seconds, you just hold the case next to your phone and open it. The sound quality is great. The automatic pausing when you take out one airpod is a great feature, and they have a pretty long range - I can leave my phone downstairs and still be connected. The battery life isn't the longest but they charge super quick so it's not a big deal. They're also really comfortable, I have weirdly small ears and I can wear these for hours without any pain or irritation.","sound quality, range, battery life, charge","great, pretty long, isn't the longest, super quick",positive,
https://www.amazon.com/gp/customer-reviews/RTAVKU6YR72CX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"Baught as a gift, they loved it the sound is awesome and, the feature that pauses music when you take out of 👂 s is pretty nifty as well.",sound,awesome,positive,
https://www.amazon.com/gp/customer-reviews/R269RFQPWWK6FB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,Was torn between this one and the Pro model but I’m glad I went with the regular AirPods 2. They are super comfy and sound quality is plenty good for my liking. Battery life is superb and I use it everyday. I don’t have any complaints. Only con I can think of is that the case can attract all kinds of lint and other things when they are in your pants pockets all day. No biggie tho. Love mine!,"comfy, sound quality, battery life","super, plenty good, superb",positive,
https://www.amazon.com/gp/customer-reviews/R1W58W7HWUKRV2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,1,"The microphone is TERRIBLE. On video call meetings I get complaints that the audio is fuzzy when I talk and that I sound like a robot. Keep in mind these are paired to a brand new 2019 Apple MacBook Pro, so there should be no issues, yet there are. If these can't work with a product that the SAME manufacturer produces I can only imagine how bad they are if you're on PC.","microphone, audio","terrible, fuzzy",negative,
https://www.amazon.com/gp/customer-reviews/R1EFHESLFSRI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,1,"Absolutely horrible experience with both the product and the shipping. For starters, I pay for prime membership, and didn’t get the package until around two weeks after I reported that my original package never arrived. Now my AirPod case won’t charge my AirPods after less than one year of owning it! I always took care of the case, bought a protector for it, only ever used compressed air to clean it, and always clipped it into my waist. There is absolutely zero reason that it should have stopped working. Save yourself the time and don’t buy the product, it’s a dud. They’re sucking your money out of your wallet and giving horrible quality in return. Now my AirPods are useless and they’ll charge $70 just for another dud of an AirPods case.","experience, quality","absolutely horrible, horrible",negative,
https://www.amazon.com/gp/customer-reviews/R3LYWVIZLSOGFX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,I love these air pods. Price finally came down from the original price when they first came out so I went for them. The last pair of head phones I owned was back when the wired version was around so it’s been a few years. These sounds great.. love having no wires. They stay in my ears no problem. I didn’t want noise cancelling headphones so these are perfect. I like them especially at the gym hearing what’s going on around me. I feel almost unsafe with noise canceling headphones.. battery life is great. I highly recommend buying these,battery life,great,positive,
https://www.amazon.com/gp/customer-reviews/R39ZX6VUBEBDNP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"This is definitely worth your money. If your deciding to buy AirPods or not, you definitely should. The sound quality is outstanding and the noise cancellation is a 3 star. And that’s good because you can listen to your music and still hear what’s going on around you in case of emergencies or something like that. But the one thing that outstands me the most is the battery life. You could go on a camping trip for a week with your AirPods case at 100% and by the time you get home they would be at 50% I am so amazed with the battery life. This is a 5 star product",sound quality,outstanding,positive,
https://www.amazon.com/gp/customer-reviews/REL7YQX27MHLB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,They sound great for the prices. I definitely recommend them. They’re perfect for working out and working. The sound quality is great. The only dislike I have is the sound cancelling. Other then that this is an amazing product.,"sound, sound quality, product","great, great, amazing",positive,
https://www.amazon.com/gp/customer-reviews/R9RLPX3EWTWLA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,2,"These were great for 5-3/4 months. Then the charging got wonky. Suddenly, after leaving the airpods charging overnight, one or the other airpod would give me a low battery warning 5 minutes after removing them from the case. Then the next charge would be fine. Repeat whole process. Very disappointed in this product. Because of COVID, I can't take them into the local Apple Store. Instead, I get a $220 hold on my credit card, and wait for a refurb unit. I should have the hold removed once they get my defective unit back. I won't buy these again. If you do buy them, I strongly recommend the AppleCare (which you must buy within the first 60 days of placing your order.)",charging,wonky,negative,
https://www.amazon.com/gp/customer-reviews/R3ALH503KJDLBW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I had to purchase these after my previous cord ear buds went out. Was reluctant because of the price. But they are proving to be worth every penny! The sound quality is amazing. If I get a phone call, even when outside and I have these in I can hear the caller very clearly and have been told my voice is very clear coming through. Highly recommend these!","sound quality, voice","amazing, very clear",positive,
https://www.amazon.com/gp/customer-reviews/R35E3QDAAC87B0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"Great airpods! Low latency, good sound quality. Please put in the dissription that these are GENERATION 2 Airpods so people won't get confused to whether they are getting gen 1 or gen 2 airpods. I had to look up my serial number on the apple site to make sure, and these are generation 2 airpods! not generation 1. So this is truly the latest model! And please don't get confused, these are not Pros, but the latest non pro model (generation 2).","airpods, latency, sound quality","great, low, good",positive,
https://www.amazon.com/gp/customer-reviews/RCBPPP84Z18Z3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,1," If I hadn't authenticated the serial number, I'd seriously think I was sold a counterfeit product. Since this is an authentic, new product, I'm just left to believe the product is mediocre at best.
 
 I regularly use my air pods on both iOS and Android devices. The air pods connect relatively quickly and easily to both, but especially with other Apple devices. (For some reason, the max volume is significantly lower on my Android device.) The Bluetooth range is not great with reception starting to break up if you move more than 4-5' away from the phone. The sound is pretty clear, but less than 10 weeks after purchase, individual ear buds will cut in and out or get static-y even while sitting stationary next to my phone. Like other reviewers, my individual ear buds don't seem to charge evenly with one often dying well before the second. I've also been disappointed with the battery performance. The ear buds re-charge quickly when inserted into the case and I'd say I can probably get 5 hours of run time between charges of the *case*, but I struggle to regularly get more than 2 hours of run time per full charge of the ear buds (and oftentimes not even that). Finally, I have no idea how people wear these all the time as I found the shape of the air pods to be tremendously uncomfortable. (Though I am aware accessories exist to mitigate this issue)
 
 I truly don't understand the effuse praise heaped upon air pods. I am deeply underwhelmed.","product, product, product, connect, connect, max volume, bluetooth range, sound, recharge","authentic, new, mediocre, relatively quickly, easily, significantly lower, not great, pretty clear, quickly",negative,
https://www.amazon.com/gp/customer-reviews/R1G6ISL8Y3IYV4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,After owning a pair of AirPods myself for a long while I bought two pairs for my teens. They BOTH love them! Super easy to use and the great quality that you would expect from Apple. My kids are so happy they no longer have to worry about the cords. Sound quality is fabulous and they stay in their ears when they workout. I thought about buying the cheaper brand until I heard of how they stop working so I'm glad that I went ahead and bought quality... it shows. I bought silicon covers for the cases with clips as well. Super fast delivery!!!!,"sound quality, delivery","fabulous, super fast",positive,
https://www.amazon.com/gp/customer-reviews/R3IGVOZS435CIL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,4,"These air pods have surprisingly good battery life and are really comfortable to wear. I primarily use my air pods during work. So probably 5-8 hours a work day. I use them intermittently due to having to interact with my coworkers. I charge them every time I have to give someone my attention. As a result of that I've never ran out of battery life in a single day. I also find them extremely comfortable, like I forget they are even there sometimes if I paused my audiobook. While I don't exercise with them, I haven't had one fall out yet during regular use. But I am cautious enough to not use them around water as I fear they might fall out and be damaged in such circumstances.
 
 Unfortunately, we are only allowed one earbud in while we work. Some areas of my workspace are loud due primarily to large AC units and conveyors converging in certain areas. Due to this, I do have one complaint about them. They don't cancel noise very well. I used to have another pair of wireless ear buds and they were much better at cancelling out sound, even with one ear free. As a result I am frequently having to pause my audiobook in these areas as I don't want to blow out one of my eardrums trying to overpower the external sounds with raising the volume of my device.
 
 As to regards about sound quality, I find them good for my purposes. Listening to podcasts and audiobooks in standard quality. I have decent headphones at home if I want an audiophile experience with high quality audio formats especially with music, games, and shows. But the air pods don't necessarily sound terrible. They are just a little annoying to pair between my iphone and pc back and forth. (Not a fan of Macs, sorry apple crowd)
 
 As I only use them while I work, I don't take calls, so I can't comment on the sound receiving end of the earbuds and their use as a headset.
 
 Overall I think they are pretty great product. I did receive the newest model, it was factory sealed and did not appear to have been used. I read a couple of bad reviews and I was particularly worried about receiving a previous model or returned item sold as new. Thankfully everything was fine.","battery life, product","good, great",positive,Detailed and meaningful review but few noun-adj pairs
https://www.amazon.com/gp/customer-reviews/R2D3A4ILJS8TNE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,3,Super Convenient. Couldn’t be easier to set up! Charged fast. Impressive battery life. Loved the automatic pause sensor feature when 1 or both AirPods are removed from one’s ear.,battery life,impressive,positive,very positive description does not match the neutral rating
https://www.amazon.com/gp/customer-reviews/REOVB3LMKLI2N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,5,"I use mine, almost exclusively for calls. I tried the several knock offs, waist of time! These work amazing for talking, noise cancelling is excellent, quick connection, pairing is flawless, good range, voice quality is best around for both parties. If you like the fit of ear buds that come with your phone & you don't want a cord, this is the only choice. Only negative & it is relatively minor, battery life is a bit short. The case holds a numerous charges, but you do have to put them back in the case when ever you get a chance to keep them charged. All in all, pretty minor issue. IF you like your iPhone & fit of the corded headphones that came w/your phone, buy these.Fantastic sound quality and the easiest blue tooth connection I have ever experienced. In addition they are almost bullet proof. I have left them in my shirt pocket and they have gone through the washing machine and dryer and still work with no degradation. I wouldn't advise the Washing machine but I can attest they still work after","noise cancelling, connection, pairing, range, voice quality, battery life, sound quality, blue tooth connection","excellent, quick, flawless, good, best around, a bit short, fantastic, easiest",positive,
https://www.amazon.com/gp/customer-reviews/R2PVMSOMUKN7U9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07PXGQC1Q,3,I bought this item in prime day just to have the AirPods a bluetooth handsfree with high quality sound and easy to use. But I'm not satisfied with the battery life at all. If I talk on a phone for an hour and watch a movie for another hour the battery dies and I should recharge it using its case. So the battery life for my item is less than a few hours if I use it constantly. It seems expensive for this battery quality.,sound,high quality,negative,negative description does not match the neutral rating
